관측시간,Avoc-PM10(㎍/m³),Avoc-PM2.5(㎍/m³),Avoc-PM1.0(㎍/m³),Avoc-TC,Bvoc-TC,온도(℃),습도(%),풍향,풍속(㎧)
2019.8.29 10:50,20.1,16.8,13.8,218056.7,219992.8,24.7,80.1,1.4,271.7
2019.8.29 11:00,18.1,16.2,14.2,202776.1,38767.2,21.2,94,0.8,250.9
2019.8.29 11:10,15.6,13.9,12.3,169940.3,46447.7,20.3,95.1,1.2,220.3
2019.8.29 11:20,16.7,15,13.3,182087.5,3595.5,19.9,96.4,0.8,258.6
2019.8.29 11:30,10.7,9.6,8.5,114104.9,44655.6,20.1,96.3,0.5,67.7
2019.8.29 11:40,11.3,10.3,9.1,127575,15008.2,20.1,93.5,0.5,193.7
2019.8.29 11:50,13.9,11.8,10.2,142011.8,1460.8,20.2,93.2,0.4,195.4
2019.8.29 12:00,15.3,13.9,12.2,167967.5,1.4,20,94.3,0.2,325.8
2019.8.29 12:10,14,12.9,11.4,161079.2,19244.9,20.4,93.7,0.6,141.4
2019.8.29 12:20,14.9,13.8,12.2,177186.1,10823.1,20.5,93.9,0.4,90.8
2019.8.29 12:30,16.4,14.6,12.9,186141.4,12897.8,20.7,90.1,0.8,173
2019.8.29 12:40,17.3,14.4,12.2,177604.4,40738.5,20.7,92.1,0.6,123.3
2019.8.29 12:50,16.1,13.8,12.1,175643.6,14293.4,20.9,90.4,0.6,49.9
2019.8.29 13:00,14.4,12.8,11.1,164770.8,29547.4,21.3,89.9,1,167
2019.8.29 13:10,15.4,13.4,11.7,174320.7,28833.5,21.2,89.4,1,181.9
2019.8.29 13:20,16.1,13.8,12,179183.9,56218.3,21.3,89.6,0.9,228.7
2019.8.29 13:30,15.8,14.2,12.4,184463.3,35841.3,21.1,87.4,0.5,20.7
2019.8.29 13:40,19.4,15.6,13.1,197892.6,17808.8,21.4,84.5,0.9,135.1
2019.8.29 13:50,18.6,14.9,12.7,194402.9,28611.7,21.4,84.6,0.7,165.1
2019.8.29 14:00,17.7,14.7,12.6,195117.2,27328.1,21.5,84.7,0.9,174.3
2019.8.29 14:10,18,15,12.8,204411.5,24803.9,21.9,82.1,0.9,140.4
2019.8.29 14:20,18.2,15.5,13.5,223518.6,13129.3,22.4,79.5,1.2,165.1
2019.8.29 14:30,19.8,16.3,14.2,235676.3,15569.7,22.5,80.1,1.2,189.2
2019.8.29 14:40,19.7,16.7,14.6,247973.3,22580.3,22.8,79.8,1,147.2
2019.8.29 14:50,20.9,17.5,15.1,257742.6,25367.8,23,79.5,0.6,242.2
2019.8.29 15:00,21.3,17.1,14.8,258635.1,26992.9,23.3,79.3,0.6,66.1
2019.8.29 15:10,20.6,16.4,14.2,252387.5,37516,24,76.1,1.1,221.9
2019.8.29 15:20,21.3,15.9,13.7,247355.7,28657.3,24,75.3,0.8,205.8
2019.8.29 15:30,21.5,16,13.7,250078.3,18604.6,24.5,72.9,1.1,251.1
2019.8.29 15:40,19.8,15.3,13.3,246324.6,18572.6,24.6,72.5,0.9,204.7
2019.8.29 15:50,19.1,14.8,13,245513.5,26340.9,25.1,71.1,1.2,134.6
2019.8.29 16:00,19.2,15,13.1,250185,28261.1,25.2,71.7,0.9,131.6
2019.8.29 16:10,23.1,15.8,13.2,257346.7,28367.7,25.5,70.6,1.1,162.6
2019.8.29 16:20,23.8,16.3,13.5,263955.1,32823.8,26,68.5,0.6,214.8
2019.8.29 16:30,22.1,15.8,13.5,267489.2,44463.7,26.4,66.6,1.1,203.9
2019.8.29 16:40,22.9,15.7,13,264321.3,57741.9,26.5,64.3,1,161.7
2019.8.29 16:50,24,15.8,12.8,257414.6,57359.4,26.5,63.7,0.8,260.9
2019.8.29 17:00,24.4,14.8,12.2,246270.7,36298.5,26.9,60.7,0.8,262.8
2019.8.29 17:10,27.7,15.6,12.4,251818.9,23236.9,26.9,60.6,1.2,248.5
2019.8.29 17:20,23.3,14.6,11.7,237922.1,27825.6,27.2,60.7,1,190.8
2019.8.29 17:30,25.6,15.4,12.2,245118.1,20982.6,26.9,59.7,0.9,253.2
2019.8.29 17:40,22.7,14.7,11.7,235922.5,46199.8,26.9,61.5,0.8,253.1
2019.8.29 17:50,25.2,15.5,12.6,248792.4,30266.1,26.6,62.6,1.3,241.3
2019.8.29 18:00,23.4,15.1,12.4,242965.8,45076.9,26.6,63.1,1.2,194.1
2019.8.29 18:10,24.3,16,12.9,253813.1,40938.3,26.2,64.9,1.1,195.5
2019.8.29 18:20,26.8,16.8,13.7,264693.6,51846.3,26,66.5,0.9,168.4
2019.8.29 18:30,27,17.7,14.7,284067.9,42962.3,25.9,67,1.2,191.6
2019.8.29 18:40,29.7,19.3,15.8,302863.8,38996.7,25.7,68.9,1.1,199.5
2019.8.29 18:50,33,21.9,17.7,331301.8,22486.6,25.7,70.1,0.8,198.4
2019.8.29 19:00,29.4,22.6,18.7,331043.2,58074.2,24.6,78.4,0.9,270.3
2019.8.29 19:10,26.8,20.7,17,297157.6,68295.5,23.7,82.1,0.5,178.6
2019.8.29 19:20,20.1,14.7,11.6,197971.8,50094.9,23.8,74.7,0.9,258
2019.8.29 19:30,18.1,14.1,11.1,182261.1,32981.8,23.6,72.3,1.3,182.7
2019.8.29 19:40,15.6,12.8,10.3,167872.9,41890.8,23.2,74.6,0.4,105
2019.8.29 19:50,16.2,12.8,10.5,170650,13448.7,23,73.5,0.3,62.6
2019.8.29 20:00,16.8,13.6,11.2,180551.7,15871.7,22.9,74.4,0.2,20.5
2019.8.29 20:10,20.2,15.4,12.6,211219.7,10257.4,23.4,73.1,0.3,210.2
2019.8.29 20:20,25.3,19.1,15.5,260699.8,12172.5,23.4,76,0.3,299.1
2019.8.29 20:30,32.9,25.2,20.8,356115.4,27.4,23.5,79.9,0.4,164
2019.8.29 20:40,33.9,25.6,21.3,369244.9,19737.6,23.7,80.5,0.5,163
2019.8.29 20:50,35.2,26.7,22.3,383624.3,26472.1,23.9,80.2,0.5,174.4
2019.8.29 21:00,32.4,24.7,20.5,353541.1,42523.7,23.8,80.8,0.4,186.3
2019.8.29 21:10,32.8,25,20.7,354001.3,29891.5,23.7,80.8,0.5,182.8
